SKyleofLochalsh;DAttadale;0;27
DAttadale;SDingwall;0;109
SDingwall;SArdgay;0;42
SArdgay;DHelmsdale;0;63
DHelmsdale;SWick;0;56
SDingwall;TInverness;0;25
TInverness;SElgin;1;61
SElgin;TAberdeen;1;106
TAberdeen;SArbroath;1;87
SArbroath;TDundee;1;27
TDundee;DInverkeithing;0;70
DInverkeithing;TEdinburgh;0;23
TInverness;DAviemore;0;48
DAviemore;SKingussie;0;21
SKingussie;TPerth;0;115
TPerth;TDundee;1;36
TPerth;SDunblane;1;45
SDunblane;TStirling;1;9
TStirling;DCroy;1;27
DCroy;TEdinburgh;0;66
DCroy;TGlasgowQueenStreet;1;22
TEdinburgh;SBathgate;1;35
SBathgate;SAirdrie;1;26
SAirdrie;TGlasgowQueenStreet;1;20
TGlasgowQueenStreet;SDalmuir;0;17
SDalmuir;DCrianlarich;0;69
DCrianlarich;DTulloch;0;70
DTulloch;SFortWilliam;0;29
SFortWilliam;SMallaig;0;68